Date,Open,High,Low,Close,Volume
29-02-2024 20:00,61681.7,62345.7,61598.7,61974.6,22901.733
29-02-2024 21:00,61974.6,62038.6,60619.7,61435.8,35811.067
29-02-2024 22:00,61435.8,61541.2,60722.4,61290.5,13826.77
29-02-2024 23:00,61290.4,61600,61173.1,61203.3,9263.588
01-03-2024 00:00,61203.3,61842.2,61199.4,61575.3,9463.711
01-03-2024 01:00,61575.3,61648.2,61190.1,61294.4,7377.663
01-03-2024 02:00,61294.4,61294.4,60855,61063.9,10764.179
01-03-2024 03:00,61063.9,61318.3,60844.8,61183.4,7256.022
01-03-2024 04:00,61183.4,61623.7,61135,61613.1,7004.607
01-03-2024 05:00,61615.2,61634.5,61364.6,61385.9,5561.544
01-03-2024 06:00,61385.9,61856.7,61275.8,61625.8,9114.014
01-03-2024 07:00,61625.8,61844.8,61435.2,61485.8,8858.644
01-03-2024 08:00,61485.9,62332,61385.5,61980,18286.108
01-03-2024 09:00,61980,62270.1,61915,62200.1,8629.996
01-03-2024 10:00,62200.1,62263.6,61921.3,62055,8252.525
01-03-2024 11:00,62055.1,62175.3,61875,61927.7,6504.524
01-03-2024 12:00,61927.7,62650.5,61918.4,62291.4,17135.303
01-03-2024 13:00,62291.5,62750,62249.1,62510.2,11288.357
01-03-2024 14:00,62510.2,62539.7,61585.1,62009.7,26584.958
01-03-2024 15:00,62009.7,62234,61200,61335.3,23655.222
01-03-2024 16:00,61335.4,61700.1,61312.1,61490,13982.046
01-03-2024 17:00,61490,62172.2,61490,61977,17512.156
01-03-2024 18:00,61976.9,62556.3,61889,62402.8,12467.712
01-03-2024 19:00,62402.7,62434.3,62030.2,62270.5,10209.859
01-03-2024 20:00,62270.5,63199,62270.5,62936.9,19004.91
01-03-2024 21:00,62936.9,62961,62352.6,62565.4,20170.155
01-03-2024 22:00,62565.5,62730.5,62359.9,62534,9593.061
01-03-2024 23:00,62534.1,62796,62388,62430.6,10554.551
